Test Type,Port Number / Nameserver,Result of Test
Port Egress,1322,open
Port Egress,1323,open
Port Egress,1324,open
Port Egress,1326,open
Port Egress,1325,open
Port Egress,1327,open
Port Egress,1328,open
Port Egress,1329,open
Port Egress,821,open
Port Egress,1330,open
Port Egress,1331,open
Port Egress,1332,open
Port Egress,1333,open
Port Egress,1334,open
Port Egress,1335,open
Port Egress,1336,open
Port Egress,1337,open
Port Egress,1338,open
Port Egress,1339,open
Port Egress,1340,open
Port Egress,1341,open
Port Egress,1342,open
Port Egress,1343,open
Port Egress,1344,open
Port Egress,1345,open
Port Egress,1346,open
Port Egress,1347,open
Port Egress,1348,open
Port Egress,1349,open
Port Egress,1350,open
Port Egress,1351,open
Port Egress,1352,open
Port Egress,1353,open
Port Egress,1354,open
Port Egress,1355,open
Port Egress,1356,open
Port Egress,1357,open
Port Egress,1358,open
Port Egress,1359,open
